Learning Rate, Activation Function, Weight Decay, Hidden Layers, Validation Error
0.000755934724174, relu, 0.000173376839038, 96, 0.72306394577
0.000285030088885, relu, 8.86808967969e-05, 32 96 64, 0.746618568897
0.000805217927469, leaky_relu, 0.0363834938531, 32 96, 0.696976602077
0.283072211651, leaky_relu, 0.00776217101045, 32 128, 0.74305087328
0.000226546382327, leaky_relu, 0.00015812026106, 64 32 96 128, 0.695797622204
0.301820688846, relu, 0.00409157454466, 64 128 96 32, 1.00985586643
0.000146539575931, relu, 0.000279528758333, 128 96 32, 0.702831864357
0.55260084161, relu, 0.000594639864219, 32 96 128 64, 2.33927702904
0.893226624986, leaky_relu, 0.00174203228736, 32 64 96 128, 1576625.375
0.00824407442463, relu, 0.0285735136587, 64 128 96, 1.00187468529
0.000436409975449, relu, 0.0002757690186, 128 32, 0.657203733921
0.069932078744, relu, 0.0429066745555, 32 96 64 128, 0.999110281467
0.181402729785, leaky_relu, 2.14632143023e-05, 32 128 96, 1.14016795158
0.0210033286398, leaky_relu, 0.00065286653716, 96 128 64, 0.682465434074
0.0158200411425, leaky_relu, 0.0358579304484, 128 32 96 64, 1.00104498863
0.000608913805524, relu, 0.000563797120383, 128 32 64, 0.69251292944
0.000154736765075, leaky_relu, 0.0189659237612, 96 64 32, 0.686912119389
0.0116266892972, leaky_relu, 0.0215423205192, 96 64 32, 0.774801135063
0.00368911518246, relu, 1.3264375081e-05, 32 96, 0.808005273342
0.0444372645644, leaky_relu, 1.40000453706e-05, 128 32 96, 0.932475745678
0.00128685376542, relu, 4.35757576093e-05, 96 32 64, 0.751980781555
0.2388983517, relu, 0.0033058913415, 32, 0.77414816618
0.164409854399, leaky_relu, 0.00270596787438, 128 96 32, 0.787311553955
0.0126196803923, relu, 5.30067655014e-05, 96 32, 0.776846766472
0.0180847365538, relu, 0.00331167527536, 32 128 64, 0.665091753006
0.726979308462, leaky_relu, 2.30498935441e-05, 96 64, 3662.17016602
0.0213179508897, relu, 0.000298583360642, 64 96 128, 0.673678696156
0.102478847926, leaky_relu, 0.0351553919123, 64 32, 0.703575849533
0.0724129907555, relu, 1.4843543773e-05, 32 128 96 64, 1.10239386559
0.0015799354873, relu, 0.00286208622334, 32 96 128 64, 0.768233418465
0.00127892950586, leaky_relu, 0.0439352498087, 64 96 128, 1.00035786629
0.044669137296, leaky_relu, 4.65774210098e-05, 64 128 32, 0.829396247864
0.000455327605146, leaky_relu, 0.00130853570139, 64 96, 0.727696955204
0.279447259815, leaky_relu, 0.0243365998443, 128 64 96, 527.371459961
0.350048509987, leaky_relu, 0.000818898879199, 64 32 128 96, 34.0386886597
0.0252925343503, relu, 0.077836853575, 64 96 32, 0.997951686382
0.0375730756401, leaky_relu, 0.00118395398534, 64 128 96, 0.654036045074
0.00650575248968, relu, 0.0034808479852, 96 64 128, 0.700755655766
0.0759209047829, leaky_relu, 0.00511240979807, 96 64 128, 0.723027765751
